127.0.0.1 - - [18/Mar/2018:17:12:29 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:12:30 +0530] "GET /DemoApp/LoginPage.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:12:37 +0530] "GET /DemoApp/DemoServlet HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:14:17 +0530] "GET /DemoApp/LoginPage.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:14:23 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:20:05 +0530] "GET /DemoApp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:20:07 +0530] "GET /DemoApp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:21:35 +0530] "GET /DemoApp/LoginPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:21:37 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:21:42 +0530] "GET /DemoApp/DemoServlet2 HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:26:39 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:26:40 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:26:42 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:26:42 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:26:42 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:26:43 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:26:56 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:27:09 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:27:10 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:27:11 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:27:11 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:27:12 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:27:17 +0530] "GET /DemoApp/DemoServlet?uname=azar HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [18/Mar/2018:17:27:21 +0530] "GET /DemoApp/DemoServlet2 HTTP/1.1" 200 47
